Date,GloveSizeGroup,GloveSize,RawIntD,LoadingWeight,ContactNumber,Surface,Gloves,Gender,ID,PowderArea
09/07/2019,Small,NA,10536628,255.9239675,2,Glass,N,Female,8,102.115
09/07/2019,Small,S,3598363,267.6389132,3,Plastic,Y,Female,8,41.175
09/07/2019,Small,S,882225,236.3031032,3,Cloth,Y,Female,8,10.362
09/07/2019,Small,S,1666108,265.4421039,3,Glass,Y,Female,8,28.987
09/07/2019,Small,NA,5299700,221.3030197,3,Plastic,N,Female,8,66.257
09/07/2019,Small,NA,5954113,132.511,3,Cloth,N,Female,8,70.958
09/07/2019,Small,NA,6509597,244.5073941,3,Glass,N,Female,8,66.843
09/07/2019,Small,S,2435145,223.8459743,4,Plastic,Y,Female,8,28.7
09/07/2019,Small,S,599496,236.4225835,4,Cloth,Y,Female,8,8.791
09/07/2019,Small,S,775600,278.3867693,4,Glass,Y,Female,8,15.353
09/07/2019,Small,NA,5094907,263.5446752,4,Plastic,N,Female,8,68.426
09/07/2019,Small,NA,4172732,106.5448,4,Cloth,N,Female,8,51.924
09/07/2019,Small,NA,5550814,280.8449585,4,Glass,N,Female,8,58.883
09/07/2019,Small,S,3244955,231.9628952,5,Plastic,Y,Female,8,46.929
09/07/2019,Small,S,578122,232.3338376,5,Cloth,Y,Female,8,7.934
09/07/2019,Small,S,715852,282.7270666,5,Glass,Y,Female,8,12.585
09/07/2019,Small,NA,3529668,229.7221703,5,Plastic,N,Female,8,58.74
09/07/2019,Small,NA,3264970,160.7425,5,Cloth,N,Female,8,41.79
09/07/2019,Small,NA,4311546,212.6654,5,Glass,N,Female,8,51.814
09/07/2019,Medium,M,5574753,287.3896573,1,Plastic,Y,Male,9,70.592
09/07/2019,Medium,M,3528223,166.7775,1,Cloth,Y,Male,9,41.405
09/07/2019,Medium,M,4977345,214.0591,1,Glass,Y,Male,9,53.035
09/07/2019,Medium,NA,5358608,171.0672,1,Plastic,N,Male,9,66.672
09/07/2019,Medium,NA,9973297,218.37681,1,Cloth,N,Male,9,90.305
09/07/2019,Medium,NA,8332163,194.7703,1,Glass,N,Male,9,80.109
09/07/2019,Medium,M,1642441,275.4410126,2,Plastic,Y,Male,9,24.762
09/07/2019,Medium,M,3793607,255.3230964,2,Cloth,Y,Male,9,46.436
09/07/2019,Medium,M,2164568,175.2263,2,Glass,Y,Male,9,23.614
09/07/2019,Medium,NA,4932223,211.0791,2,Plastic,N,Male,9,61.62
09/07/2019,Medium,NA,5735077,237.0835792,2,Cloth,N,Male,9,53.811
09/07/2019,Medium,NA,5647508,209.1645,2,Glass,N,Male,9,54.067
09/07/2019,Medium,M,1550600,220.2207002,3,Plastic,Y,Male,9,22.425
09/07/2019,Medium,M,866998,195.9103,3,Cloth,Y,Male,9,11.353
09/07/2019,Medium,M,3927819,278.3210524,3,Glass,Y,Male,9,45.421
09/07/2019,Medium,NA,2586525,268.9080358,3,Plastic,N,Male,9,42.256
09/07/2019,Medium,NA,3857440,267.9729313,3,Cloth,N,Male,9,36.842
09/07/2019,Medium,NA,5933292,201.4923,3,Glass,N,Male,9,63.975
09/07/2019,Medium,M,196283,123.8247,4,Plastic,Y,Male,9,3.183
09/07/2019,Medium,M,699281,259.1910245,4,Cloth,Y,Male,9,9.751
09/07/2019,Medium,M,3829918,257.3137649,4,Glass,Y,Male,9,44.951
09/07/2019,Medium,NA,2379008,202.8322,4,Plastic,N,Male,9,41.975
09/07/2019,Medium,NA,3289405,264.0180847,4,Cloth,N,Male,9,31.703
09/07/2019,Medium,NA,5772344,206.6874,4,Glass,N,Male,9,62.105
09/07/2019,Medium,M,69977,186.5221,5,Plastic,Y,Male,9,0.881
09/07/2019,Medium,M,221448,265.5104957,5,Cloth,Y,Male,9,3.191
09/07/2019,Medium,M,4001598,190.6514,5,Glass,Y,Male,9,47.739
09/07/2019,Medium,NA,1716216,258.420251,5,Plastic,N,Male,9,37.912
09/07/2019,Medium,NA,1986425,217.5977104,5,Cloth,N,Male,9,19.623
09/07/2019,Medium,NA,2555538,158.7586,5,Glass,N,Male,9,31.766
09/07/2019,Small,S,4277969,193.0925,1,Plastic,Y,Female,10,54.437
09/07/2019,Small,S,2123861,133.1264,1,Cloth,Y,Female,10,53.06
09/07/2019,Small,S,3094868,58.0665,1,Glass,Y,Female,10,25.594
09/07/2019,Small,NA,5399083,42.8011,1,Plastic,N,Female,10,45.347
09/07/2019,Small,NA,4955669,50.374,1,Cloth,N,Female,10,92.03
09/07/2019,Small,NA,2989141,53.2627,1,Glass,N,Female,10,51.57
09/07/2019,Small,S,1703812,197.1201,2,Plastic,Y,Female,10,31.11
